Universe,Audience,Segment,Customer Persona,Business Unit,Resources
Pro Creators,Creative Professionals,"Workday Creatives,Creative Climbers","Designer/Publisher,Video Pro,Pro Photographer,Artist/Illustrator,Marketer,Social Influencer,Small Business Owner,Designer (Multi-Media),Video Creator,Photographer,Artist",Creative Cloud,
Creators,Creative Communicators,"Savvy Communicators,Practical Communicators","Designer/Publisher,Video Pro,Pro Photographer,Artist/Illustrator,Marketer,Social Influencer,Small Business Owner,Designer (Multi-Media),Video Creator,Photographer,Artist",Creative Cloud,
Creators,Creative Consumers,"Hobbyists,Social Natives,Simple Sharers","Designer/Publisher,Video Pro,Pro Photographer,Artist/Illustrator,Marketer,Social Influencer,Small Business Owner,Designer (Multi-Media),Video Creator,Photographer,Artist",Creative Cloud,
,Students,"Core HED Students,Non-Core HED Students","Designer/Publisher,Video Pro,Pro Photographer,Artist/Illustrator,Marketer,Social Influencer,Small Business Owner,Designer (Multi-Media),Video Creator,Photographer,Artist",EDU,
,Business Decision-Makers,Mid-Market / Entrepreneur Decision-Makers,"Designer/Publisher,Video Pro,Pro Photographer,Artist/Illustrator,Marketer,Social Influencer,Small Business Owner,Designer (Multi-Media),Video Creator,Photographer,Artist",Document Cloud,https://adobe.sharepoint.com/:p:/s/DCM/Campaign/EV2B8fjDvzxHl9zXXNK1M7MBNFC1MlVFW3EQymq20zgUFA?e=Lr1GwS
,Individual,"Working Parents,Working Professionals,Micro Entreneurs",,,https://adobe.sharepoint.com/:p:/s/DCM/Campaign/EV2B8fjDvzxHl9zXXNK1M7MBNFC1MlVFW3EQymq20zgUFA?e=Lr1GwS
