DDOMStage,Owner,MarketingObjective,Definition,SuccessKPIs
Discover,Andy Watanabe,Demand Creation,Develop interest in learning more about Adobe's products and services.,"Traffic,Mobile App Downloads,Brand Perception and Awareness,Impressions/Reach,Challenge Submission,Interactions"
Try/Nurture,Steve Wirig,Consideration Media,Find inspiration to try our products & services and realize value.,"Trials,Free Signups,New Signups,Engaged Visits,Views,Consideration/Nurture,Responses"
Buy,Brent Rudewick,Demand Converting Media,"Match their intent to the right product, offering, and purchase options","Gross New ARR,Gross New Subs,View-Through Conversion,Day 90 LTV,New Paid Member,MQL,Sourced ARR,Sourced Units"
Use,Ryan Cobourn,Engagement Media,Achieve success relevant to their intent and derive membership value.,"CEI Score,7-Day Install,Month 1 2+ Days,Monthly 2+ Days,Monthly 2+ Product,Monthly 2+ Mobile,Monthly 2+ Service,SAU"
Renew,Steve Wirig,Engagement Media,Find doing business with Adobe seamless and delightful.,"Winback ARR,Renewal ARR"
